,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
195,samsung,32999,35999,8.333564821,4.3,435,Watch 5 40mmSuper AMOLED display LTE calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2 inches,<= 20 g
196,samsung,44999,48999,8.163431907,4.4,88,Watch 5 pro 45mmSuper AMOLED displayBluetooth callingwith advanced GPS tracking,Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,20 - 35 g
197,samsung,34997,42999,18.60973511,4.2,567,Galaxy Watch4 Classic LTE (4.6cm),Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,75g +
198,samsung,49999,54999,9.091074383,4.4,88,Watch 5 pro45mmSuper AMOLED displayLTE callingwith advanced GPS tracking,Circle,Grey,Rubber,Yes,3.5,Yes,1.4 inches,20 - 35 g
199,samsung,24999,26999,7.407681766,4.1,91,Galaxy Watch4 Bluetooth (4.0cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,4.0 inches,<= 20 g
200,samsung,31999,34999,8.571673476,3.8,40,Galaxy Watch4 Classic Bluetooth (4.2cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g
201,samsung,16999,34999,51.43004086,4.2,567,Galaxy Watch4 LTE (4.4cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,<= 20 g
202,samsung,39490,,,4.3,1489,Galaxy Watch 3 45 mm LTE,Circle,Black,Leather,Yes,3.5,Yes,1.8 inches,20 - 35 g
203,samsung,17490,34999,50.02714363,4.2,567,Galaxy Watch4 Classic Bluetooth(4.2cm),Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g
204,samsung,31999,39999,20.00050001,4.2,567,Galaxy Watch4 Classic LTE (4.2cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g
205,samsung,28999,31999,9.375292978,3.8,12,Galaxy Watch4 LTE (4.0cm),Circle,Pink,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,<= 20 g
206,samsung,11999,30990,61.28105841,4.3,1489,Galaxy Watch 3 41 mm,Circle,Black,Leather,Yes,3.5,Yes,1.6 inches,20 - 35 g
207,samsung,16999,28490,40.33345033,4.1,1980,Galaxy Watch Active 2 Aluminium LTE,Circle,Grey,Silicon,Yes,3.5,Yes,1.4 inches,<= 20 g
208,samsung,16999,31990,46.86151922,4.4,23940,Galaxy Watch Active 2 Steel,Circle,Black,Leather,Yes,3.5,Yes,1.7 inches,20 - 35 g
209,samsung,16999,25990,34.59407464,4.4,23940,Galaxy Watch Active 2 Aluminium,Circle,Beige,Silicon,Yes,3.5,Yes,1.7 inches,<= 20 g
210,samsung,27490,29989,8.333055454,4.2,201,Galaxy Watch 46 mm LTE,Circle,Black,Silicon,Yes,3.5,Yes,1.8 inches,75g +
211,samsung,19990,,,4.3,68,Galaxy Watch Active,Circle,Blue,Rubber,Yes,3.5,Yes,1.1 inches,<= 20 g
212,samsung,24490,28490,14.04001404,3.7,153,Galaxy Watch 42 mm LTE,Circle,Beige,Silicon,Yes,3.5,Yes,1.7 inches,20 - 35 g
213,samsung,30990,34490,10.14786895,4.1,1980,Galaxy Watch Active 2 Steel LTE,Circle,Brown,Silicon,Yes,17.5,Yes,1.4 inches,20 - 35 g
214,samsung,29990,30990,3.22684737,4.3,1489,Galaxy Watch 3 41 mm LTE,Circle,Pink,Leather,Yes,3.5,Yes,1.6 inches,20 - 35 g
215,samsung,16990,33999,50.027942,4.5,12211,Galaxy Watch 46 mm,Circle,Black,Rubber,Yes,3.5,Yes,1.8 inches,75g +
216,fitbit,11699,14999,22.00146676,4.3,3999,Versa 2,Square,Black,Silicon,Yes,3.5,Yes,1.3 inches,20 - 35 g
217,fitbit,14999,,,4.7,,Charge 5,Rectangle,Black,Silicon,Yes,22,Yes,1.0 inches,<= 20 g
218,fitbit,14999,,,4.7,5,fitbit charge 5 blue,Rectangle,Blue,Silicon,Yes,3.5,No,1.3 inches,
219,fitbit,14999,,,4.7,6,fitbit charge 5 black,Rectangle,Black,Silicon,Yes,3.5,No,0.2 inches,
220,fitbit,20499,,,4.7,114,Fitbit Versa 4 Fitness Watch (Pink Sand / Copper Rose Aluminium) 6Membership,Curved,Pink,Silicon,Yes,3.5,Yes,0.2 inches,
221,fitbit,8999,,,4.7,,Inspire 3,Rectangle,Morning Glow,Silicon,Yes,22,Yes,0.6 inches,
222,fitbit,8999,,,4.7,,FitbitInspire 3 Health & Fitness Tracker (Lilac Bliss / Black,Rectangle,Passion Pink,Rubber,Yes,3.5,No,0.2 inches,
223,fitbit,17699,18999,6.842465393,4.3,455,Versa 3,Curved,Black,Rubber,Yes,17.5,Yes,15.9 inches,
224,fitbit,20499,,,4.7,114,Versa 4,Square,Beet Juice,Silicon,Yes,17.5,Yes,1.5 inches,20 - 35 g
225,fitbit,20999,22999,8.696030262,4.2,547,Sense,Curved,Black,Rubber,Yes,17.5,Yes,1.6 inches,<= 20 g
226,fitbit,8999,23499,61.70475339,4.1,4475,Versa Special Edition,Square,Charcoal,Fabric,Yes,3.5,Yes,1.3 inches,20 - 35 g
227,fitbit,26499,,,4.1,367,Ionic,Square,Grey,Rubber,Yes,17.5,Yes,1.3 inches,
228,fitbit,19999,,,4.2,1583,Blaze,Contemporary,Black,Rubber,Yes,3.5,Yes,1.3 inches,
229,fitbit,24990,,,3.9,188,Surge,Square,Blue,Rubber,Yes,22,Yes,1.3 inches,
230,fitbit,16999,,,4.2,426,Versa Lite Edition,Square,Purple,Silicon,Yes,3.5,Yes,1.0 inches,20 - 35 g
231,fitbit,,,,,,,,,,,,,,
232,fitbit,20590,21499,4.228103633,4.1,4475,Versa,Square,Black,Silicon,Yes,3.5,Yes,1.3 inches,20 - 35 g
233,fitbit,24999,,,4.7,,Sense 2,Square,White Platinum,Silicon,Yes,17.5,Yes,1.5 inches,20 - 35 g
234,fitbit,15499,23999,35.41814242,4.5,92,Versa 2 Special Edition,Square,Multicolor,Fabric,Yes,17.5,Yes,,20 - 35 g
235,fitbit,20499,,,4.7,,Fitbit Versa 4 Fitness Watch (Black / Graphite Aluminium)6-Month Membership,Curved,Black,Rubber,Yes,3.5,Yes,0.2 inches,
236,fitbit,20499,,,4.7,,Fitbit Versa 4 Fitness Watch (Waterfall Blue / Platinum Aluminium) Membership,Curved,Blue,Rubber,Yes,22,Yes,0.2 inches,
237,amazfit,3999,5999,33.33888981,4.2,3130,"Pop 2 with Ultra-large 1.78 inch HD AMOLED Display, BT Calling, SpO2",Square,Pink,Silicon,Yes,22,Yes,1.8 inches,75g +
238,amazfit,7499,16999,55.88564033,4.3,11520,GTR 2 (New version)1.39HD AMOLEDBluetooth callingupto 10 days battery life,Circle,Grey,Silicon,Yes,8,Yes,1.4 inches,<= 20 g
239,amazfit,4499,5999,25.00416736,4.1,333,Bip 3 Pro with 1.69 inch Large Color Display Built-in GPS,Square,Beige,Silicon,Yes,8,Yes,1.7 inches,<= 20 g
240,amazfit,9999,17999,44.44691372,4.5,5265,T rex Pro 1.3HD AMOLED with advanced GPS & 10ATM water resistance,Circle,Black,Silicon,Yes,12.5,Yes,1.3 inches,75g +
241,amazfit,16999,23999,29.167882,4.3,575,GTR 4 1.43AMOLED display Bluetooth calling & 6 satellite GPS positioning system,Circle,Black,Silicon,Yes,8,Yes,1.4 inches,<= 20 g
242,amazfit,4999,6999,28.57551079,4.1,4694,Bip U pro 1.43 HD display GLONASS GPS & AI assistant,Rectangle,Pink,Silicon,Yes,22,Yes,1.4 inches,<= 20 g
243,amazfit,13999,18999,26.31717459,4.1,306,"GTS 3 1,75 HD AMOLED with advanced GPS and 150+ sports modes",Square,Misty Rose,Silicon,Yes,8,Yes,1.8 inches,20 - 35 g
244,amazfit,13999,18999,26.31717459,4.1,918,GTR 3 1.3 HD AMOLED with Always on Display and powerful Zepp OS,Circle,Grey,Silicon,Yes,17.5,Yes,1.4 inches,20 - 35 g
245,amazfit,18999,25999,26.92411247,4.2,115,GTR 3 Pro,Circle,Brown,Silicon,Yes,8,Yes,1.4 inches,20 - 35 g
246,amazfit,6999,9999,30.0030003,3.7,81,"GTS2 Mini with 1.55"" AMOLED Display Built-in Alexa",Rectangle,Black,Silicon,Yes,8,Yes,1.6 inches,
247,amazfit,8999,13999,35.71683692,4.3,578,GTR 2e,Circle,Black,Silicon,Yes,17.5,Yes,1.4 inches,<= 20 g
248,amazfit,19999,23999,16.66736114,4.3,,GTS 4 Alexa Built-in Fitness Tracker Calling 1.75'' HD Display SpO2 Waterproof,Rectangle,White,Silicon,Yes,8,Yes,1.8 inches,
249,amazfit,2999,5999,50.00833472,3.8,15,Bip U,Square,Black,Silicon,Yes,22,Yes,1.4 inches,<= 20 g
250,amazfit,7200,14999,51.99679979,4,6,Bip Lite,Square,Black,Silicon,Yes,3.5,Yes,3.0 inches,
251,garmin,139990,,,4.7,6022,"Fenix 7X Sapphire Solar, Up to 28 days/37 days with solar*, Built in Flashlight",Circle,Silver,Stainless Steel,Yes,17.5,Yes,0.1 inches,
252,garmin,16990,20990,19.05669366,4.4,90,"Venu Sq, Smartwatch, Advanced Sleep Monitoring, Upto 6 Days of Battery, SPO2",Square,Grey,Silicon,Yes,17.5,Yes,1.3 inches,20 - 35 g
253,garmin,39490,,,5,6,"Forerunner 255, GPS Running Smartwatch, Advanced Insights, HRV Status",Circle,Grey,Silicon,No,8,Yes,1.3 inches,
254,garmin,33490,,,4.7,,"Venu Sq 2 Music, AMOLED, Mindful Breathing, Upto 11 Days Battery",Square,Black,Silicon,Yes,17.5,Yes,1.4 inches,20 - 35 g
255,garmin,24990,36490,31.51548369,4.4,43,"Forerunner 245 Music, GPS Running Smartwatch, Advanced Running Dynamics",Circle,Red,Silicon,No,22,Yes,1.2 inches,20 - 35 g
256,garmin,34990,51990,32.69859588,4.3,6,"Forerunner 745, GPS Multisport Watch, Training Stats, Advanced Running Dynamics",Circle,Red,Silicon,No,22,Yes,1.2 inches,20 - 35 g
257,garmin,39490,41990,5.953798523,4.8,6,"Venu 2, GPS Smartwatch, AMOLED Display, Upto 11 Days Battery, SPO2 & Music",Circle,Blue,Silicon,Yes,17.5,Yes,33.0 inches,
258,garmin,89490,93990,4.787743377,4.7,,"Fenix 7 Solar Multisport Watch, PacePro Technology, ClimbPro, Stamina Tracking",Circle,Black,Silicon,Yes,12.5,Yes,0.1 inches,
259,garmin,67490,,,4.7,,"Forerunner 955 Solar charging upto 20 days, HRV & Stamina Status, Triathlon",Circle,White,Silicon,No,8,Yes,1.3 inches,75g +
260,garmin,20990,,,4.2,61,"Forerunner 55, GPS Smartwatch, upto 2 Weeks of Battery Life, PacePro Technology",Circle,Blue,Silicon,No,22,Yes,1.0 inches,
261,garmin,98990,,,4.7,6022,"Epix Gen 2, Sapphire, Up to 16 days Battery, AMOLED Display, Real Time Stamina",Circle,Black,Silicon,Yes,17.5,Yes,0.1 inches,
262,garmin,49990,51990,3.846893633,4.7,,Approach S62,Circle,Black,Silicon,Yes,8,Yes,1.3 inches,75g +
263,garmin,44990,50490,10.89324619,4,6,"Instinct 2 Solar, Rugged Outdoor SmartWatch, Multi GNSS, Tracback Routing",Circle,Blue,Silicon,No,17.5,Yes,0.9 inches,
264,garmin,22990,31490,26.99269609,4.1,20,"Instinct Esports Edition, Broadcast stress level & HR to PC gaming streams*",Circle,Black,Silicon,No,8,Yes,0.9 inches,
265,garmin,33490,36990,9.462016761,4.6,5,"Instinct 2, Battery Upto 28 days, Tracback Routing, Multi GNSS, Health Snapshot",Circle,Black,Silicon,No,17.5,Yes,0.9 inches,
266,garmin,39490,44990,12.22493888,4.7,109,"Venu 2S, GPS Smartwatch, AMOLED Display, Upto 11 Days Battery, SPO2 & Music",Circle,White,Silicon,Yes,22,Yes,27.9 inches,
267,garmin,27990,,,5,3,"Venu Sq 2, AMOLED, Mindful Breathing, Upto 11 Days of Battery",Square,Grey,Rubber,Yes,17.5,Yes,1.4 inches,20 - 35 g
268,garmin,20490,,,5,3,Vivomove Sports,Circle,Brown,Silicon,No,3.5,Yes,18.5 inches,
269,garmin,89490,89990,0.555617291,4.7,6022,"Epix Gen 2, Up to 16 days Battery, AMOLED Display, Real Time Stamina",Circle,Grey,Silicon,Yes,17.5,Yes,0.1 inches,
270,garmin,46990,,,4.5,8,"Venu 2 Plus, AMOLED Display, Built in Speaker & MIC, Upto 9 Days Battery, SPO2",Circle,White,Silicon,Yes,3.5,Yes,1.3 inches,75g +
271,garmin,44990,46990,4.256224729,4,6,"Instinct 2 Solar, Battery Up to 28 days/Unlimited with solar*, Tracback Routing",Circle,Black,Silicon,No,17.5,Yes,0.9 inches,
272,garmin,46990,62490,24.80396863,4.1,10,"Forerunner 945, Premium GPS Running/Triathlon Smartwatch with Music",Circle,Black,Silicon,No,8,Yes,1.9 inches,
273,garmin,33490,39490,15.19371993,4.7,109,"Instinct 2S, Battery Upto 21 days, Health Snapshot, SPO2, HIIT workout, VO2 Max",Circle,Red,Silicon,No,17.5,No,0.8 inches,
274,garmin,20990,25990,19.23816853,3.4,7,"Venu Sq Music, Smartwatch, Advanced Sleep Monitoring, Upto 6 Days Battery, SPO2",Square,Blue,Silicon,Yes,17.5,Yes,1.3 inches,
275,garmin,64990,82990,21.68936016,4.7,,"Fenix 6S Sapphire, Premium GPS Watch, Music, Pace Guidance and Pulse Ox Sensors",Circle,Black,Silicon,Yes,22,Yes,1.2 inches,75g +
276,garmin,44990,50490,10.89324619,4.7,,"Instinct 2S Solar, Battery Upto 21 days/51 days with solar*, SPO2, HIIT workout",Circle,Green,Silicon,No,17.5,Yes,0.8 inches,
277,garmin,76990,96390,20.12656915,4.7,7,"Fenix 6 Sapphire Carbon Gray DLC, Wrist-Based Heart Rate and Pulse OX, Sensors",Circle,Silver,Silicon,Yes,17.5,Yes,1.3 inches,
278,garmin,67490,67990,0.735402265,4.7,6022,"Fenix 7 Multisport GPS Watch, Upto 18 Days Battery, Climbpro, Stamina, HRV",Circle,Grey,Silicon,Yes,12.5,Yes,0.1 inches,
279,garmin,39490,44990,12.22493888,4.7,109,"Instinct 2, Rugged Outdoor Watch with GPS, Built for All Elements, Multi-GNSS",Circle,Grey,Silicon,No,17.5,Yes,0.9 inches,
280,garmin,50490,55990,9.823182711,4.7,109,"Instinct 2 Solar, Tactical Rugged SmartWatch, Multi GNSS, Tracback Routing",Circle,Brown,Silicon,No,17.5,Yes,0.9 inches,
281,garmin,27990,39990,30.00750188,3.7,10,"Venu, GPS Smartwatch with Music, Body Energy Monitoring, Animated Workouts",Circle,Blue,Silicon,Yes,3.5,Yes,1.2 inches,20 - 35 g
282,huawei,18990,29990,36.67889296,4.3,189,GT 2 Pro,Circle,Black,Fluoroelastomer,Yes,8,Yes,1.4 inches,75g +
283,huawei,14990,20990,28.5850405,4.5,3228,Watch GT 2 (46 mm),Circle,Black,Fluoroelastomer,Yes,8,Yes,1.8 inches,20 - 35 g
284,huawei,15990,20990,23.82086708,4.4,399,Watch GT Active,Circle,Orange,Silicon,Yes,8,Yes,1.8 inches,
285,huawei,14990,19990,25.01250625,4.7,,Watch GT 2 (42 mm),Circle,Black,Fluoroelastomer,Yes,22,Yes,1.7 inches,<= 20 g
286,huawei,29999,,,3.8,5,Watch 2 Sport with 4G,Circle,Black,Silicon,Yes,17.5,Yes,1.2 inches,
287,huawei,25999,,,3.9,21,Watch 2 Leather,Circle,Black,Leather,Yes,17.5,Yes,1.2 inches,
288,huawei,6999,9999,30.0030003,3.3,20,Fit,Circle,Orange,Silicon,Yes,17.5,Yes,1.2 inches,
289,huawei,10990,20990,47.64173416,4.5,203,Watch GT Sport,Circle,Black,Silicon,Yes,8,Yes,1.8 inches,75g +
290,huawei,10990,21990,50.02273761,4.5,93,Watch GT Classic,Circle,Brown,Leather,Yes,8,Yes,1.8 inches,75g +
291,huawei,8990,19990,55.02751376,4.3,1269,Watch GT 2e Sport,Circle,Red,Thermo Plastic Polyurethene,Yes,8,Yes,1.4 inches,
292,huawei,11990,19990,40.02001001,4.3,1269,Watch GT 2e Active,Circle,Green,Thermo Plastic Polyurethene,Yes,8,Yes,1.4 inches,
293,huawei,6990,14990,53.36891261,4.3,119,Watch Fit,Rectangle,Pink,Silicon,Yes,22,Yes,4.2 inches,<= 20 g
294,fossil,23995,,,4.2,343,Gen 6,Circle,Purple,Silicon,Yes,17.5,Yes,1.3 inches,
295,fossil,18495,,,3.8,172,Gen 5E,Circle,Black,Stainless Steel,Yes,22,Yes,1.7 inches,
296,fossil,15289,22995,33.51163296,4,470,Garrett HR,Circle,Silver,Stainless Steel,Yes,17.5,Yes,1.3 inches,
297,fossil,17995,,,3.9,46,Sport Smartwatch,Circle,Multicolor,Silicon,Yes,17.5,Yes,1.2 inches,
298,fossil,19999,21995,9.074789725,3.8,53,Q Venture,Circle,Silver,Stainless Steel,Yes,22,Yes,1.7 inches,
299,fossil,9995,14995,33.34444815,3.9,57,Fb-01 Hybrid Smartwatch Hr,Circle,Black,Silicon,No,22,Yes,1.1 inches,
300,fossil,14995,22995,34.79017178,4,4483,The Carlyle HR,Circle,Grey,Stainless Steel,Yes,17.5,Yes,1.3 inches,
301,fossil,13195,21995,40.00909298,3.9,510,4th Gen Venture HR,Circle,Gold,Stainless Steel,Yes,22,Yes,1.6 inches,
302,fossil,9995,17995,44.45679355,4,1532,Sport 43,Circle,Blue,Silicon,Yes,3.5,Yes,1.2 inches,
303,fossil,9198,22995,60,4.3,283,Julianna HR,Circle,Beige,Leather,Yes,17.5,Yes,1.3 inches,
304,fossil,13495,,,4.7,,Jacqueline,Circle,Black,Stainless Steel,No,17.5,Yes,1.3 inches,
305,fossil,17995,,,4,599,Sport 41,Circle,Blue,Silicon,Yes,22,Yes,1.2 inches,
306,fossil,18995,,,4,102,Wander RG,Circle,Black,Silicon,Yes,22,Yes,45.0 inches,
307,fossil,19995,,,3.1,28,FTW4003 Smart Watch,Circle,Brown,Leather,Yes,22,Yes,1.4 inches,
308,fossil,19995,,,4.4,69,Q Explorist,Circle,Black,Leather,Yes,22,Yes,1.7 inches,
309,fossil,11995,,,4.3,4,Commuter,Circle,Black,Leather,No,17.5,Yes,1.7 inches,
310,fossil,14995,,,3.9,41,Charter Hybrid HR Smartwatch,Circle,Black,Leather,No,3.5,Yes,1.2 inches,75g +
311,fossil,16495,,,4.1,123,Collider Hybrid HR,Circle,Grey,Stainless Steel,No,3.5,Yes,1.1 inches,
312,fossil,16495,,,4.7,,Neutra Hybrid HR,Circle,Silver,Stainless Steel,No,8,Yes,1.1 inches,
313,fossil,9995,16495,39.40588057,3.8,144,FB-01 Hybrid HR,Circle,Black,Stainless Steel,Yes,3.5,Yes,1.1 inches,
314,fossil,13995,,,3.8,4,FTW1140 Q Hybrid Watch,Circle,Blue,Stainless Steel,No,22,Yes,,
315,fossil,13495,,,4.4,11,Q Jacqueline,Circle,Silver,Stainless Steel,No,17.5,Yes,1.3 inches,
316,fossil,13495,,,4.7,3,Neely,Circle,Blue,Stainless Steel,No,17.5,Yes,1.3 inches,
317,fossil,10998,21995,49.99772676,3.9,5182,4th Gen Explorist HR,Circle,Black,Silicon,Yes,22,Yes,1.8 inches,
318,dizo,1299,5499,76.37752319,4,1598,"Watch D Sharp 1.75"" with High Res (320*390) Display (By realme techLife)",Rectangle,Grey,Silicon,Yes,8,Yes,1.8 inches,20 - 35 g
319,dizo,1799,4999,64.01280256,4.2,34953,Watch D 1.8 inch Dynamic display with 550nits brightness,Rectangle,Black,Silicon,Yes,8,Yes,1.8 inches,75g +
320,dizo,3299,5999,45.00750125,4,28926,Watch R AMOLED with 45 mm Dial Size (by realme techLife),Circle,Black,Silicon,Yes,22,Yes,1.3 inches,20 - 35 g
321,dizo,1999,5999,66.67777963,4.1,561,"Watch D2 with 1.91 inch super big display ,BT Calling (by realme TechLife)",Rectangle,Black,Silicon,Yes,22,Yes,1.9 inches,20 - 35 g
322,dizo,1699,3999,57.51437859,4.2,110067,Watch 2,Rectangle,Pink,Silicon,Yes,12.5,Yes,1.7 inches,75g +
323,dizo,1199,3499,65.73306659,4.2,62964,"Watch 2 sports (by realme techlife) 1.69"" Bright screen with 110+ sports modes",Square,Blue,Silicon,Yes,22,Yes,1.7 inches,20 - 35 g
324,dizo,4499,6999,35.71938848,4.2,6385,"Watch R Talk, Amoled Display with Calling & 10 days battery",Circle,Grey,Silicon,Yes,22,Yes,1.3 inches,75g +
325,dizo,3499,5999,41.67361227,4.2,1785,Watch D Talk 1.8 display with calling&7 day battery (by realme Techlife),Rectangle,Grey,Silicon,Yes,22,Yes,1.8 inches,75g +
326,dizo,1999,3999,50.01250313,3.9,3492,Watch S 1.57 Bright touch screen with rectangular display and 110+ sports modes,Rectangle,Pink,Silicon,Yes,22,Yes,1.6 inches,20 - 35 g
327,dizo,1999,4999,60.0120024,4.1,717,"Watch D Plus with 1.85inch,550nits display&14 day battery",Rectangle,Blue,Silicon,Yes,8,Yes,1.9 inches,20 - 35 g
328,dizo,2799,3999,30.00750188,4.1,7586,Watch Pro,Square,Black,Silicon,Yes,8,Yes,1.8 inches,20 - 35 g
329,dizo,3299,6999,52.86469496,3.9,345,WATCH D ULTRA 1.78 AMOLED WITH CALLING,Square,Blue,Silicon,Yes,22,Yes,1.8 inches,20 - 35 g
330,dizo,3999,6999,42.86326618,4.1,663,"Watch R Talk Go, 1.39 inch, 550nits display, 10 day battery (by realme TechLife)",Circle,Blue,Silicon,Yes,22,Yes,1.4 inches,20 - 35 g
331,dizo,2699,5999,55.00916819,3.3,222,"WATCH D PRO WITH CALLING,D1 CHIPSET,OS,1.85 INCH DISPLAY",Square,Grey,Silicon,Yes,22,Yes,1.9 inches,20 - 35 g
332,dizo,5999,6999,14.28775539,4.2,13,"R Talk, Amoled Display with Calling & 10 days battery",Circle,Black,Silicon,Yes,22,Yes,1.3 inches,75g +
333,dizo,5999,6999,14.28775539,4.2,13,R TALK SMARTWATCH Amoled Display with Calling10 Days Battery(SilverGrey)FreeSize,Circle,Grey,Silicon,Yes,22,Yes,1.3 inches,75g +
334,dizo,3999,5999,33.33888981,4.2,42860,D TALK SMART WATCH (SILVER GREY),Rectangle,Grey,Silicon,Yes,22,Yes,1.8 inches,75g +
335,dizo,3999,5999,33.33888981,4.2,42860,"D Talk DW 32051 Smart Watch with Up to 7 Day Battery Life, Classic Black",Rectangle,Black,Silicon,Yes,22,Yes,1.8 inches,75g +
336,dizo,2499,3999,37.50937734,3.6,70,Watch 2 Sports i,Square,Black,Plastic,Yes,22,Yes,1.7 inches,
337,gizmore,1199,4499,73.34963325,4.7,,GizFit CLOUD 1.85 IPS Large Display | AI Voice Assistant | Bluetooth Calling,Square,Blue,Silicon,Yes,22,Yes,1.8 inches,20 - 35 g
338,gizmore,1799,5999,70.01166861,4.2,4813,"GizFit Ultra BT Calling Smartwatch With 1.69"" HD Display| 60+ Sports Mode",Square,Grey,Silicon,Yes,3.5,Yes,0.1 inches,20 - 35 g
339,gizmore,1299,5499,76.37752319,3.8,3137,GizFit BLAZE BT Calling Smartwatch | 1.69 Inch IPS Curved 500 NITS Display,Square,Black,Silicon,Yes,3.5,Yes,0.1 inches,20 - 35 g
340,gizmore,2799,8999,68.89654406,4,1994,GizFit GLOW AMOLED with 3.4 Cm | ALWAYS-ON | 550 NITS Brightness | BT Calling,Circle,Black,Silicon,Yes,3.5,Yes,1.4 inches,75g +
341,gizmore,1999,5999,66.67777963,4,1178,"Blaze Max 1.85"" BT Calling Edge to Edge Display, Voice Assistance, Bluetooth",Square,Grey,Silicon,Yes,8,Yes,1.9 inches,
342,gizmore,3499,8999,61.11790199,3.7,475,GizFit GLOW LUXE AMOLED with 3.35 Cm Display | 500 NITS| Bluetooth Calling,Circle,Black,Leather,Yes,3.5,Yes,1.3 inches,
343,gizmore,1999,6999,71.43877697,3.8,927,GizFit PLASMA Bluetooth Calling Smartwatch | 1.9 Inch HD Display | 550 NITS,Square,Blue,Silicon,Yes,22,Yes,1.9 inches,20 - 35 g
344,gizmore,2399,5499,56.37388616,5,3,GIZFIT BLAZE X 1.85 Inch Ultra HD Display | 600 NITS | BT Calling Smartwatch,Square,Burgundy,Silicon,Yes,3.5,Yes,1.9 inches,<= 20 g
345,gizmore,2799,6999,60.00857265,4.3,7,GizFit ORBIT BT Calling with 1.32 Inch Ultra Sharp HD Display|500 NITS|ALWAYS-ON,Circle,Burgundy,Silicon,Yes,3.5,Yes,1.3 inches,
346,gizmore,2199,5999,63.34389065,3.5,10,Gizfit 910 Pro Bluetooth Calling with AI Voice Assistance,Square,Black,Silicon,Yes,3.5,Yes,1.7 inches,
347,gizmore,1999,5999,66.67777963,3.5,30,Gizfit Slate BT Calling | 1.57 Inch display | AI voice Assistance,Rectangle,Black,Silicon,Yes,3.5,Yes,1.6 inches,<= 20 g
348,gizmore,1799,2999,40.01333778,3.8,645,GizFit 902,Square,Black,Silicon,Yes,22,Yes,1.0 inches,
349,gizmore,1499,6999,78.58265466,4.7,,Vogue 1.95 Edge to Edge Larger IPS HD Display Bluetooth Calling,Square,Grey,Silicon,Yes,22,Yes,1.9 inches,20 - 35 g
350,gizmore,6999,,,4.7,,GizFIt Vogue 1.95 Always On 600 NITS HD Display Bluetooth Calling,Square,Orange,Silicon,Yes,22,Yes,1.9 inches,20 - 35 g
351,gizmore,2799,6999,60.00857265,4.7,,GizFit ORBIT BT Calling with 3.3 Cm | ALWAYS-ON | 500 NITS Brightness,Circle,Black,Silicon,Yes,3.5,Yes,1.3 inches,
352,ambrane,1299,4999,74.01480296,4.2,60292,Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life,Square,Grey,Silicon,Yes,22,Yes,1.7 inches,
353,ambrane,1599,5999,73.34555759,4.2,25108,"Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking",Circle,Grey,Silicon,Yes,22,Yes,1.3 inches,
354,ambrane,1799,5999,70.01166861,4.2,453,"Wise Eon Max with 2.01'' Lucid display, BT Calling, with customisable watch face",Square,Black,Silicon,Yes,22,Yes,2.0 inches,
355,ambrane,1499,5299,71.71164371,4.2,8574,"Wise Eon Pro1.85"" lucid display with BT calling",Square,Red,Silicon,Yes,22,Yes,1.9 inches,
356,ambrane,2499,5999,58.34305718,4.3,7767,"Wise Glaze with 1.78"" Amoled display, BT Calling,SPO2 , Heart Rate Monitor",Square,Grey,Silicon,Yes,22,Yes,1.8 inches,
357,ambrane,1799,3799,52.64543301,4.2,8003,Flex 1.69inch Lucid display and SPO2,Square,Pink,Silicon,Yes,22,Yes,1.7 inches,
358,ambrane,2299,3999,42.51062766,4.1,2475,Surge 1.28 Curved Display with complete Health Tracking,Circle,Black,Silicon,Yes,22,Yes,1.3 inches,
359,ambrane,1999,5999,66.67777963,3.9,1099,Pulse,Rectangle,Black,Synthetic,Yes,22,Yes,1.3 inches,20 - 35 g
360,ambrane,1499,3799,60.54224796,4.2,1804,Flex,Square,Green,Silicon,Yes,22,Yes,1.7 inches,
361,pebble,2799,7499,62.67502334,4.4,12644,"Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res Curved Display, Ultra-Thin Dial",Rectangle,Black,Silicon,Yes,22,Yes,1.9 inches,75g +
362,pebble,4199,9499,55.79534688,4.2,7828,"Cosmos luxe 1.36"" AMOLED Always-on Display Bluetooth calling(Midnight Gold)",Circle,Charcoal,Silicon,Yes,22,Yes,0.1 inches,
363,pebble,4199,9999,58.00580058,4.2,541,"Cosmos Luxe 2.0 1.43"" AMOLED Display with BT Calling and Responsive Watch Faces",Circle,Midnight,Silicon,Yes,22,Yes,1.4 inches,20 - 35 g
